,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600299,2005-01-01,A,3071778271.0,2122541678.0,949236593.3,1681764903.0,440776775.0,星新材料,01,1902153290.5
5,600299,2006-01-01,A,3963403181.0,2802026771.0,1161376410.0,2455085096.0,346941675.0,星新材料,01,2628555933.5
10,600299,2007-01-01,A,6734712937.0,5032648649.0,1702064288.0,3903382734.0,1129265916.0,星新材料,01,4468015692.0
15,600299,2008-01-01,A,9379285381.0,6164830114.0,3214455267.0,4607429759.0,1557400355.0,星新材料,01,5386129936.5
20,600299,2009-01-01,A,11551951734.0,8420062267.0,3131889467.0,6148641086.0,2271421181.0,星新材料,01,7284351676.5
25,600299,2010-01-01,A,12390497016.0,9434993354.0,2955503663.0,8232641874.0,1202351479.0,星新材料,01,8833817613.5
30,600299,2011-01-01,A,15295805702.0,12246536335.0,3049269366.0,9353413599.0,2893122736.0,星新材料,01,10799974967.0
35,600299,2012-01-01,A,18098981791.0,14987328313.0,3111653478.0,11272990823.0,3714337490.0,星新材料,01,13130159568.0
1,600299,2005-03-31,A,2970322617.0,1969829622.0,1000492995.0,1429052847.0,540776775.0,星新材料,03,1699441234.5
6,600299,2006-03-31,A,4071128135.0,2874406847.0,1196721288.0,2337465172.0,536941675.0,星新材料,03,2605936009.5
11,600299,2007-03-31,A,5839364333.0,4557358331.0,1282006002.0,3400036739.0,1157321592.0,星新材料,03,3978697535.0
16,600299,2008-03-31,A,9616577805.0,6357474694.0,3259103112.0,4793789652.0,1563685041.0,星新材料,03,5575632172.5
21,600299,2009-03-31,A,11971198829.0,8956697312.0,3014501517.0,6673385835.0,2283311477.0,星新材料,03,7815041573.5
26,600299,2010-03-31,A,13887767590.0,10926555280.0,2961212310.0,9369521079.0,1557034201.0,星新材料,03,10148038179.5
31,600299,2011-03-31,A,17148482349.0,14038995575.0,3109486773.0,10191149845.0,3847845730.0,星新材料,03,12115072710.0
36,600299,2012-03-31,A,19359881742.0,16446789416.0,2913092326.0,12481318690.0,3965470726.0,星新材料,03,14464054053.0
2,600299,2005-06-30,A,3276275233.0,2199872098.0,1076403135.0,1579095323.0,620776775.0,星新材料,06,1889483710.5
7,600299,2006-06-30,A,4997528994.0,3792355111.0,1205173883.0,2886060680.0,906294431.3,星新材料,06,3339207895.65
12,600299,2007-06-30,A,7107956632.0,5761617692.0,1346338940.0,4391443050.0,1370174642.0,星新材料,06,5076530371.0
17,600299,2008-06-30,A,10877775370.0,7491022164.0,3386753206.0,5541854972.0,1949167193.0,星新材料,06,6516438568.5
22,600299,2009-06-30,A,12468713048.0,9509604043.0,2959109005.0,7194924406.0,2314679637.0,星新材料,06,8352264224.5
27,600299,2010-06-30,A,14550906000.0,11556884143.0,2994021857.0,9743252545.0,1813631598.0,星新材料,06,10650068344.0
32,600299,2011-06-30,A,17988636335.0,14805844745.0,3182791590.0,11277521829.0,3528322916.0,星新材料,06,13041683287.0
37,600299,2012-06-30,A,19792052447.0,17164642309.0,2627410138.0,12763116004.0,4401526306.0,星新材料,06,14963879157.0
3,600299,2005-09-30,A,3632333688.0,2501736485.0,1130597203.0,1926959710.0,574776775.0,星新材料,09,2214348097.5
8,600299,2006-09-30,A,5107696539.0,3875335030.0,1232361509.0,2852538250.0,1022796780.0,星新材料,09,3363936640.0
13,600299,2007-09-30,A,9862992283.0,6829830414.0,3033161869.0,4926227399.0,1903603015.0,星新材料,09,5878028906.5
18,600299,2008-09-30,A,11431689474.0,7961496252.0,3470193223.0,5841862529.0,2119633722.0,星新材料,09,6901679390.0
23,600299,2009-09-30,A,12689661143.0,9707645249.0,2982015894.0,7413644844.0,2294000405.0,星新材料,09,8560645046.5
28,600299,2010-09-30,A,14714393826.0,11670232373.0,3044161453.0,9509014587.0,2161217787.0,星新材料,09,10589623480.5
33,600299,2011-09-30,A,18344125599.0,15231480629.0,3112644970.0,11620946143.0,3610534486.0,星新材料,09,13426213386.0
38,600299,2012-09-30,A,18918872872.0,16634316890.0,2284555982.0,12074975361.0,4559341530.0,星新材料,09,14354646126.0
